onset	duration	trial_type	response_time	stim_file	value	sample	stage	trial	bci_prediction	n_repeated	latency
300.7290000000001	0	right	116.666666667	right_hand.png	2.0	1503645.0	1	59	left	4	-31.4
305.616	0	left	50.0	right_hand.png	1.0	1528080.0	1	60	left	4	-28.8
310.2196	0	right	66.6666666667	left_hand.png	2.0	1551098.0	1	61	right	4	-24.4
314.8394	0	left	83.3333333333	right_hand.png	1.0	1574197.0	1	62	left	4	-18.8
319.6598	0	left	116.666666667	right_hand.png	1.0	1598299.0	1	63	left	4	-18.2
324.4012	0	right	100.0	right_hand.png	2.0	1622006.0	1	64	left	4	2.0
329.0878	0	right	133.33333333299998	right_hand.png	2.0	1645439.0	1	65	left	4	0.2
333.7542	0	right	133.33333333299998	right_hand.png	2.0	1668771.0	1	66	left	4	-7.0
338.3082	0	left	16.6666666667	left_hand.png	1.0	1691541.0	1	67	right	4	-4.2
343.0612	0	left	166.66666666700002	left_hand.png	1.0	1715306.0	1	68	right	4	-21.2
347.6314	0	right	33.3333333333	right_hand.png	2.0	1738157.0	1	69	left	4	-33.4
352.2222	0	right	50.0	right_hand.png	2.0	1761111.0	1	70	left	4	-17.4
357.1592	0	right	83.3333333333	right_hand.png	2.0	1785796.0	1	71	left	4	-13.6
361.792	0	left	100.0	right_hand.png	1.0	1808960.0	1	72	left	4	-4.2
366.43300000000005	0	left	100.0	left_hand.png	1.0	1832165.0	1	73	right	4	-18.4
371.1532	0	right	183.33333333299998	left_hand.png	2.0	1855766.0	1	74	right	4	-4.4
375.8402	0	right	150.0	right_hand.png	2.0	1879201.0	1	75	left	4	-6.6
380.5438	0	right	166.66666666700002	right_hand.png	2.0	1902719.0	1	76	left	4	-3.8
385.17800000000005	0	right	100.0	left_hand.png	2.0	1925890.0	1	77	right	4	-26.0
389.8146	0	right	100.0	left_hand.png	2.0	1949073.0	1	78	right	4	-3.4
394.4358	0	left	83.3333333333	left_hand.png	1.0	1972179.0	1	79	right	4	-42.2
399.1248	0	right	150.0	left_hand.png	2.0	1995624.0	1	80	right	4	-20.8
408.117	0	right	116.666666667	left_hand.png	2.0	2040585.0	1	81	right	5	-1.8
412.759	0	right	83.3333333333	right_hand.png	2.0	2063795.0	1	82	left	5	-10.2
417.3386	0	left	50.0	right_hand.png	1.0	2086693.0	1	83	left	5	-25.8
422.2754	0	right	100.0	left_hand.png	2.0	2111377.0	1	84	right	5	-29.0
426.8626	0	left	50.0	right_hand.png	1.0	2134313.0	1	85	left	5	-8.2
431.5162	0	right	116.666666667	right_hand.png	2.0	2157581.0	1	86	left	5	-2.6
440.337	0	right	116.666666667	left_hand.png	2.0	2201685.0	1	87	right	6	-42.6
449.1964	0	right	116.666666667	right_hand.png	2.0	2245982.0	1	88	left	7	-8.0
453.8998	0	right	166.66666666700002	left_hand.png	2.0	2269499.0	1	89	right	7	-6.4
458.6036	0	right	166.66666666700002	left_hand.png	2.0	2293018.0	1	90	right	7	-15.2
463.2738	0	right	133.33333333299998	right_hand.png	2.0	2316369.0	1	91	left	7	-16.2
468.3608	0	left	133.33333333299998	right_hand.png	1.0	2341804.0	1	92	left	7	-8.8
473.048	0	left	150.0	left_hand.png	1.0	2365240.0	1	93	right	7	-6.4
477.8014	0	left	116.666666667	right_hand.png	1.0	2389007.0	1	94	left	7	-3.0
482.772	0	right	116.666666667	right_hand.png	2.0	2413860.0	1	95	left	7	-32.8
487.4064	0	left	100.0	right_hand.png	1.0	2437032.0	1	96	left	7	-19.4
